,chapter,comments,date
901,902,49,08/22/2017
902,903,52,08/23/2017
903,904,51,08/23/2017
904,905,39,08/27/2017
905,906,80,08/27/2017
906,907,84,08/29/2017
907,908,61,08/30/2017
908,909,46,09/01/2017
909,910,47,09/03/2017
910,911,35,09/03/2017
911,912,41,09/04/2017
912,913,92,09/04/2017
913,914,92,09/06/2017
914,915,72,09/07/2017
915,916,52,09/09/2017
916,917,85,09/09/2017
917,918,68,09/10/2017
918,919,64,09/12/2017
919,920,81,09/14/2017
920,921,96,09/16/2017
921,922,54,09/20/2017
922,923,49,09/21/2017
923,924,43,09/23/2017
924,925,47,09/24/2017
925,926,29,09/25/2017
926,927,43,09/25/2017
927,928,42,09/26/2017
928,929,59,09/26/2017
929,930,27,09/27/2017
930,931,57,09/27/2017
931,932,61,09/28/2017
932,933,76,09/28/2017
933,934,62,09/30/2017
934,935,81,10/01/2017
935,936,80,10/02/2017
936,937,76,10/03/2017
937,938,111,10/05/2017
938,939,46,10/07/2017
939,940,121,10/07/2017
940,941,93,10/10/2017
941,942,110,10/12/2017
942,943,153,10/14/2017
943,944,122,10/16/2017
944,945,117,10/17/2017
945,946,71,10/19/2017
946,947,54,10/21/2017
947,948,104,10/23/2017
948,949,96,10/27/2017
949,950,73,10/28/2017
950,951,73,10/30/2017
951,952,91,10/31/2017
952,953,110,11/02/2017
953,954,40,11/06/2017
955,956,76,11/07/2017
956,957,53,11/09/2017
957,958,70,11/10/2017
958,959,62,11/11/2017
959,960,48,11/13/2017
960,961,56,11/13/2017
961,962,83,11/14/2017
962,963,75,11/16/2017
963,964,64,11/17/2017
964,965,113,11/19/2017
965,966,101,11/21/2017
966,967,84,11/23/2017
967,968,85,11/26/2017
968,969,92,11/28/2017
969,970,59,12/01/2017
970,971,40,12/05/2017
971,972,71,12/05/2017
972,973,72,12/08/2017
973,974,75,12/09/2017
974,975,87,12/11/2017
975,976,75,12/13/2017
976,977,74,12/13/2017
977,978,107,12/14/2017
978,979,88,12/16/2017
979,980,66,12/16/2017
980,981,125,12/18/2017
981,982,69,12/19/2017
982,983,68,12/21/2017
983,984,35,12/23/2017
984,985,78,12/23/2017
985,986,102,12/24/2017
986,987,200,12/25/2017
987,988,266,12/28/2017
988,989,180,12/31/2017
989,990,219,01/02/2018
990,991,106,01/04/2018
991,992,159,01/06/2018
992,993,126,01/08/2018
993,994,138,01/10/2018
994,995,135,01/11/2018
995,996,120,01/12/2018
996,997,87,01/13/2018
997,998,64,01/14/2018
998,999,57,01/15/2018
999,1000,49,01/16/2018
1000,1001,86,01/16/2018
1001,1002,65,01/17/2018
1002,1003,129,01/18/2018
1003,1004,90,01/19/2018
1004,1005,97,01/20/2018
1005,1006,118,01/22/2018
1006,1007,93,01/23/2018
1007,1008,102,01/24/2018
1008,1009,79,01/26/2018
1009,1010,95,01/26/2018
1010,1011,53,01/28/2018
1011,1012,115,01/28/2018
1012,1013,93,01/30/2018
1013,1014,141,01/30/2018
1014,1015,90,02/01/2018
1015,1016,34,02/04/2018
1016,1017,38,02/04/2018
1017,1018,74,02/04/2018
1018,1019,62,02/05/2018
1019,1020:,97,02/05/2018
1020,1021,110,02/06/2018
1021,1022,123,02/07/2018
1022,1023,46,02/09/2018
1023,1024,94,02/09/2018
1024,1025,64,02/10/2018
1025,1026,74,02/12/2018
1026,1027,93,02/13/2018
1027,1028,87,02/15/2018
1028,1029,29,02/18/2018
1029,1030,36,02/18/2018
1030,1031,142,02/18/2018
1031,1032,110,02/20/2018
1032,1033,207,02/21/2018
1033,1034,102,02/23/2018
1034,1035,117,02/23/2018
1035,1036,85,02/25/2018
1036,1037,123,02/27/2018
1037,1038,103,03/01/2018
1038,1039,79,03/03/2018
1039,1040,66,03/03/2018
1040,1041,62,03/04/2018
1041,1042,99,03/05/2018
0,1040,66,03/03/2018
1,1041,62,03/04/2018
