chapter,comments,date
849,0,07/23/2017
850,28,07/23/2017
851,29,07/23/2017
852,31,07/23/2017
853,24,07/24/2017
854,0,07/24/2017
855,23,07/24/2017
856,58,07/25/2017
857,80,07/25/2017
858,37,07/25/2017
859,35,07/26/2017
860,16,07/26/2017
861,28,07/26/2017
862,28,07/27/2017
863,42,07/27/2017
864,33,07/27/2017
865,41,07/28/2017
866,36,07/28/2017
867,48,07/28/2017
868,26,07/29/2017
869,34,07/29/2017
870,23,07/29/2017
871,28,07/29/2017
872,24,07/30/2017
873,0,07/30/2017
874,23,07/30/2017
875,30,07/30/2017
876,31,07/30/2017
877,29,07/31/2017
878,47,07/31/2017
879,45,07/31/2017
880,40,08/01/2017
881,41,08/01/2017
882,32,08/01/2017
883,0,08/02/2017
884,37,08/02/2017
885,42,08/02/2017
886,33,08/03/2017
887,48,08/03/2017
888,49,08/03/2017
889,0,08/04/2017
890,40,08/04/2017
891,40,08/04/2017
892,32,08/05/2017
893,24,08/05/2017
894,23,08/05/2017
895,32,08/06/2017
896,0,08/06/2017
897,27,08/06/2017
898,25,08/06/2017
899,47,08/07/2017
900,39,08/07/2017
901,27,08/07/2017
902,37,08/08/2017
903,35,08/08/2017
904,44,08/08/2017
905,25,08/09/2017
906,34,08/09/2017
907,35,08/09/2017
908,43,08/10/2017
909,36,08/10/2017
910,43,08/10/2017
911,44,08/11/2017
912,39,08/11/2017
913,35,08/11/2017
914,39,08/12/2017
915,26,08/12/2017
916,40,08/12/2017
917,42,08/12/2017
918,44,08/13/2017
919,32,08/13/2017
920,44,08/13/2017
921,42,08/13/2017
922,38,08/14/2017
923,31,08/14/2017
924,31,08/14/2017
925,37,08/15/2017
926,37,08/15/2017
927,46,08/15/2017
928,34,08/16/2017
929,0,08/16/2017
930,29,08/16/2017
931,39,08/17/2017
932,31,08/17/2017
933,38,08/17/2017
934,35,08/18/2017
935,39,08/18/2017
936,40,08/18/2017
937,37,08/19/2017
938,36,08/19/2017
939,28,08/19/2017
940,37,08/20/2017
941,35,08/20/2017
942,28,08/20/2017
943,30,08/21/2017
944,30,08/21/2017
945,0,08/21/2017
946,33,08/22/2017
947,34,08/22/2017
948,34,08/22/2017
949,36,08/23/2017
950,34,08/23/2017
951,38,08/23/2017
952,67,08/24/2017
953,0,08/24/2017
954,41,08/24/2017
955,33,08/25/2017
956,0,08/25/2017
957,88,08/25/2017
958,52,08/26/2017
959,50,08/26/2017
960,0,08/26/2017
961,55,08/27/2017
962,39,08/27/2017
963,54,08/27/2017
964,40,08/28/2017
965,20,08/28/2017
966,50,08/28/2017
967,28,08/28/2017
968,34,08/29/2017
969,17,08/29/2017
970,37,08/29/2017
971,30,08/29/2017
972,32,08/30/2017
973,27,08/30/2017
974,0,08/30/2017
975,39,08/30/2017
976,51,08/31/2017
977,0,08/31/2017
978,38,08/31/2017
979,53,08/31/2017
980,47,09/01/2017
981,44,09/02/2017
982,32,09/03/2017
983,33,09/04/2017
984,32,09/04/2017
985,42,09/04/2017
986,37,09/05/2017
987,41,09/05/2017
988,42,09/05/2017
989,70,09/06/2017
990,62,09/06/2017
991,106,09/06/2017
992,0,09/07/2017
993,42,09/07/2017
994,38,09/07/2017
995,46,09/08/2017
996,53,09/08/2017
997,41,09/08/2017
998,58,09/09/2017
999,43,09/09/2017
1000,84,09/09/2017
